problem_id,problem_title,problem_solved,category,submit_id,user_id,result,memory,time,language,code
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91550323,luck2u,맞았습니다!!,32412,36,Python 3,"a, b = input().split()

a = int(a)
b = int(b)

print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91549676,minddonyy,맞았습니다!!,32412,36,Python 3,"A,B = map(int, input().split())
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91549671,jjhh3300,맞았습니다!!,32412,36,Python 3,"A, B = map(int, input().split())
print(A + B)
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91549158,cooing1030,맞았습니다!!,32412,36,Python 3,"A, B = map(int, input().split())
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91549145,taegwon04,맞았습니다!!,32412,44,Python 3,"a,b = input().split()
a = int(a)
b= int(b)

print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91548901,cooing1030,틀렸습니다,,,Python 3,"A, B = map(int, input().split())
print(A, B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91548591,cooing1030,런타임 에러 (ValueError),,,Python 3,"A = int(input())
B = int(input())
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91548436,cooing1030,런타임 에러 (ValueError),,,Python 3,"a = int(input())
b = int(input())
print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91548306,cooing1030,런타임 에러 (ValueError),,,Python 3,"a = int(input())
b = int(input())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91548173,cooing1030,런타임 에러 (ValueError),,,Python 3,"a = int(input())
b = int(intput())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91548055,yigzo,맞았습니다!!,32544,40,Python 3,"print(eval(input().replace(' ','+')))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91548051,cooing1030,런타임 에러 (EOFError),,,Python 3,"a = input(int())
b = input(int())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91547832,cooing1030,런타임 에러 (EOFError),,,Python 3,"a = input(int())
b = input(int())
print(a+b)"
